Date,Transaction Type,Amount,Category,Balance,Description
2013-07-08,Withdrawal,2642,Office Supplies,0,Withdrawal for Office Supplies
2013-07-08,Withdrawal,1884,Utilities,1754,Withdrawal for Utilities
2013-07-08,Withdrawal,848,Payroll,12676,Withdrawal for Payroll
2013-07-09,Deposit,3344,Sponsorship,13445,Deposit for Sponsorship
2013-07-09,Deposit,576,Sales,12176,Deposit for Sales
2013-07-16,Withdrawal,1325,Rent,4071,Withdrawal for Rent
2013-07-17,Deposit,630,Sales,18237,Deposit for Sales
2013-07-18,Deposit,2198,Donations,7198,Deposit for Donations
2013-07-18,Withdrawal,2575,Loan Payments,10101,Withdrawal for Loan Payments
2013-07-19,Withdrawal,2239,Memberships,15998,Withdrawal for Memberships
2013-07-19,Deposit,148,Sales,13524,Deposit for Sales
2013-07-20,Withdrawal,174,Payroll,1580,Withdrawal for Payroll
2013-07-21,Withdrawal,1878,Payroll,3292,Withdrawal for Payroll
2013-07-21,Deposit,4839,Sponsorship,17015,Deposit for Sponsorship
2013-07-21,Withdrawal,2622,Loan Payments,13376,Withdrawal for Loan Payments
2013-07-22,Withdrawal,937,Taxes,3638,Withdrawal for Taxes
2013-07-23,Deposit,1951,Sales,12865,Deposit for Sales
2013-07-23,Deposit,3563,Donations,5170,Deposit for Donations
2013-07-23,Withdrawal,1802,Travel,5396,Withdrawal for Travel
2013-07-24,Deposit,2914,Sales,17607,Deposit for Sales
2013-07-27,Withdrawal,1215,Rent,14693,Withdrawal for Rent
2013-07-27,Withdrawal,1107,Payroll,15908,Withdrawal for Payroll
2013-07-28,Deposit,476,Sponsorship,11600,Deposit for Sponsorship
2013-08-01,Withdrawal,2438,Rent,8184,Withdrawal for Rent
2013-08-02,Withdrawal,1861,Insurance,0,Withdrawal for Insurance
2013-08-02,Deposit,405,Donations,0,Deposit for Donations
2013-08-03,Deposit,4967,Sponsorship,6515,Deposit for Sponsorship
2013-08-05,Withdrawal,2583,Office Supplies,1548,Withdrawal for Office Supplies
2013-08-05,Deposit,966,Sales,0,Deposit for Sales
2013-08-05,Withdrawal,2526,Loan Payments,0,Withdrawal for Loan Payments
2013-08-07,Withdrawal,1067,Office Supplies,0,Withdrawal for Office Supplies
2013-08-11,Deposit,3523,Sales,10038,Deposit for Sales
2013-08-11,Deposit,491,Donations,1885,Deposit for Donations
2013-08-12,Deposit,3759,Donations,3623,Deposit for Donations
2013-08-13,Withdrawal,1164,Payroll,0,Withdrawal for Payroll
2013-08-14,Withdrawal,2964,Memberships,0,Withdrawal for Memberships
2013-08-14,Deposit,508,Sponsorship,4131,Deposit for Sponsorship
2013-08-16,Withdrawal,1559,Insurance,0,Withdrawal for Insurance
2013-08-16,Deposit,3667,Sales,1535,Deposit for Sales
2013-08-17,Deposit,698,Donations,0,Deposit for Donations
2013-08-18,Withdrawal,1263,Professional Services,10622,Withdrawal for Professional Services
2013-08-18,Deposit,208,Donations,10246,Deposit for Donations
2013-08-21,Deposit,2366,Sponsorship,0,Deposit for Sponsorship
2013-08-21,Withdrawal,2100,Professional Services,2900,Withdrawal for Professional Services
2013-08-22,Deposit,1639,Sponsorship,11885,Deposit for Sponsorship
2013-08-22,Withdrawal,2981,Professional Services,0,Withdrawal for Professional Services
2013-08-23,Withdrawal,1506,Maintenance,1394,Withdrawal for Maintenance
2013-08-23,Deposit,738,Donations,0,Deposit for Donations
2013-08-24,Withdrawal,2670,Payroll,0,Withdrawal for Payroll
2013-08-24,Deposit,4254,Sales,0,Deposit for Sales
2013-08-25,Deposit,3939,Sponsorship,0,Deposit for Sponsorship
2013-08-25,Deposit,701,Sponsorship,8885,Deposit for Sponsorship
2013-08-27,Withdrawal,2262,Utilities,0,Withdrawal for Utilities
2013-09-02,Deposit,615,Sales,15495,Deposit for Sales
2013-09-02,Withdrawal,2741,Office Supplies,5402,Withdrawal for Office Supplies
2013-09-02,Withdrawal,2842,Insurance,6886,Withdrawal for Insurance
2013-09-03,Deposit,4115,Donations,11382,Deposit for Donations
2013-09-04,Withdrawal,1032,Travel,12944,Withdrawal for Travel
2013-09-09,Deposit,4375,Sales,9728,Deposit for Sales
2013-09-10,Withdrawal,2797,Memberships,12698,Withdrawal for Memberships
2013-09-10,Withdrawal,1917,Maintenance,9998,Withdrawal for Maintenance
2013-09-10,Withdrawal,1396,Marketing,7267,Withdrawal for Marketing
2013-09-11,Deposit,3498,Donations,14880,Deposit for Donations
2013-09-11,Deposit,978,Donations,9364,Deposit for Donations
2013-09-11,Deposit,3799,Donations,9201,Deposit for Donations
2013-09-13,Withdrawal,1868,Rent,2430,Withdrawal for Rent
2013-09-14,Withdrawal,1612,Office Supplies,8386,Withdrawal for Office Supplies
2013-09-15,Deposit,1431,Sponsorship,11915,Deposit for Sponsorship
2013-09-17,Withdrawal,2328,Rent,5353,Withdrawal for Rent
2013-09-17,Deposit,314,Donations,9515,Deposit for Donations
2013-09-21,Deposit,3218,Sponsorship,10484,Deposit for Sponsorship
2013-09-22,Deposit,2898,Sales,5328,Deposit for Sales
2013-09-23,Withdrawal,912,Travel,8603,Withdrawal for Travel
2013-09-24,Deposit,1278,Sales,13976,Deposit for Sales
2013-09-24,Withdrawal,369,Marketing,7681,Withdrawal for Marketing
2013-09-25,Withdrawal,1633,Inventory,11311,Withdrawal for Inventory
2013-09-25,Withdrawal,896,Memberships,8143,Withdrawal for Memberships
2013-09-25,Deposit,1938,Sponsorship,7266,Deposit for Sponsorship
2013-09-25,Withdrawal,701,Payroll,8663,Withdrawal for Payroll
2013-09-25,Withdrawal,1878,Professional Services,6725,Withdrawal for Professional Services
2013-09-27,Deposit,4039,Sales,9039,Deposit for Sales
2013-09-27,Deposit,1325,Sales,8050,Deposit for Sales
2013-09-28,Withdrawal,2588,Loan Payments,4298,Withdrawal for Loan Payments
2013-10-02,Withdrawal,1170,Rent,22946,Withdrawal for Rent
2013-10-02,Deposit,1849,Donations,24912,Deposit for Donations
2013-10-02,Deposit,1826,Sponsorship,23063,Deposit for Sponsorship
2013-10-03,Deposit,1718,Donations,35000,Deposit for Donations
2013-10-03,Deposit,4291,Donations,30768,Deposit for Donations
2013-10-04,Withdrawal,662,Travel,40997,Withdrawal for Travel
2013-10-06,Withdrawal,129,Inventory,26477,Withdrawal for Inventory
2013-10-07,Withdrawal,1793,Insurance,17521,Withdrawal for Insurance
2013-10-08,Deposit,2244,Sponsorship,7244,Deposit for Sponsorship
2013-10-10,Deposit,4650,Sponsorship,45647,Deposit for Sponsorship
2013-10-11,Deposit,2016,Sponsorship,37016,Deposit for Sponsorship
2013-10-12,Withdrawal,2012,Rent,35123,Withdrawal for Rent
2013-10-12,Deposit,4020,Donations,34788,Deposit for Donations
2013-10-13,Deposit,4208,Sponsorship,17981,Deposit for Sponsorship
2013-10-13,Deposit,3716,Donations,21237,Deposit for Donations
2013-10-13,Deposit,1333,Sponsorship,19314,Deposit for Sponsorship
2013-10-15,Deposit,2500,Donations,37288,Deposit for Donations
2013-10-15,Withdrawal,2250,Maintenance,41659,Withdrawal for Maintenance
2013-10-15,Deposit,2400,Donations,39416,Deposit for Donations
2013-10-18,Deposit,4697,Sponsorship,13773,Deposit for Sponsorship
2013-10-19,Deposit,1832,Sales,9076,Deposit for Sales
2013-10-20,Withdrawal,819,Inventory,22127,Withdrawal for Inventory
2013-10-20,Deposit,2093,Sponsorship,24116,Deposit for Sponsorship
2013-10-23,Withdrawal,153,Payroll,37135,Withdrawal for Payroll
2013-10-23,Deposit,3238,Sales,25365,Deposit for Sales
2013-10-24,Deposit,2768,Sales,26606,Deposit for Sales
2013-10-24,Withdrawal,1527,Payroll,23838,Withdrawal for Payroll
2013-10-25,Withdrawal,1841,Payroll,33282,Withdrawal for Payroll
2013-10-25,Withdrawal,2889,Inventory,22023,Withdrawal for Inventory
2013-10-28,Deposit,4493,Sales,43909,Deposit for Sales
2013-11-01,Deposit,1543,Sponsorship,46917,Deposit for Sponsorship
2013-11-01,Deposit,4379,Sales,17200,Deposit for Sales
2013-11-04,Deposit,1047,Sponsorship,41386,Deposit for Sponsorship
2013-11-04,Withdrawal,2972,Insurance,25316,Withdrawal for Insurance
2013-11-04,Deposit,2356,Donations,27444,Deposit for Donations
2013-11-05,Deposit,3634,Sponsorship,16835,Deposit for Sponsorship
2013-11-05,Withdrawal,757,Insurance,45273,Withdrawal for Insurance
2013-11-06,Deposit,2977,Sales,7977,Deposit for Sales
2013-11-09,Deposit,3957,Sponsorship,45807,Deposit for Sponsorship
2013-11-09,Deposit,2314,Donations,32138,Deposit for Donations
2013-11-10,Deposit,4775,Sponsorship,21610,Deposit for Sponsorship
2013-11-10,Withdrawal,1231,Insurance,44576,Withdrawal for Insurance
2013-11-10,Deposit,2184,Sponsorship,43570,Deposit for Sponsorship
2013-11-11,Withdrawal,2307,Utilities,41263,Withdrawal for Utilities
2013-11-12,Withdrawal,2846,Maintenance,18221,Withdrawal for Maintenance
2013-11-12,Withdrawal,2164,Office Supplies,13201,Withdrawal for Office Supplies
2013-11-13,Deposit,3337,Donations,35475,Deposit for Donations
2013-11-16,Deposit,4864,Donations,40339,Deposit for Donations
2013-11-16,Deposit,587,Donations,41850,Deposit for Donations
2013-11-17,Withdrawal,2613,Inventory,42660,Withdrawal for Inventory
2013-11-17,Deposit,4844,Sponsorship,12821,Deposit for Sponsorship
2013-11-20,Deposit,3478,Sponsorship,25088,Deposit for Sponsorship
2013-11-20,Deposit,798,Sponsorship,45374,Deposit for Sponsorship
2013-11-21,Withdrawal,2919,Insurance,39741,Withdrawal for Insurance
2013-11-24,Deposit,4508,Donations,29824,Deposit for Donations
2013-11-26,Withdrawal,2856,Travel,15365,Withdrawal for Travel
2013-11-26,Deposit,844,Sponsorship,28288,Deposit for Sponsorship
2013-11-26,Withdrawal,887,Taxes,46030,Withdrawal for Taxes
2013-11-27,Withdrawal,2364,Insurance,37377,Withdrawal for Insurance
2013-11-28,Deposit,3867,Donations,21067,Deposit for Donations
2013-12-01,Withdrawal,300,Memberships,38059,Withdrawal for Memberships
2013-12-01,Deposit,2112,Sales,38359,Deposit for Sales
2013-12-02,Withdrawal,263,Loan Payments,13120,Withdrawal for Loan Payments
2013-12-03,Deposit,529,Sales,9768,Deposit for Sales
2013-12-03,Deposit,228,Sponsorship,14613,Deposit for Sponsorship
2013-12-03,Withdrawal,1480,Rent,13251,Withdrawal for Rent
2013-12-04,Withdrawal,1307,Utilities,28347,Withdrawal for Utilities
2013-12-05,Deposit,3808,Sales,8808,Deposit for Sales
2013-12-05,Deposit,2057,Donations,11309,Deposit for Donations
2013-12-05,Deposit,1542,Sales,31981,Deposit for Sales
2013-12-06,Withdrawal,1839,Taxes,11281,Withdrawal for Taxes
2013-12-10,Deposit,4617,Donations,14385,Deposit for Donations
2013-12-13,Withdrawal,1123,Maintenance,14548,Withdrawal for Maintenance
2013-12-13,Withdrawal,1165,Insurance,13383,Withdrawal for Insurance
2013-12-15,Deposit,897,Sales,20253,Deposit for Sales
2013-12-16,Deposit,4149,Donations,24402,Deposit for Donations
2013-12-17,Deposit,118,Sponsorship,14731,Deposit for Sponsorship
2013-12-17,Deposit,2070,Sponsorship,26472,Deposit for Sponsorship
2013-12-18,Deposit,1063,Donations,41452,Deposit for Donations
2013-12-19,Deposit,2330,Donations,40389,Deposit for Donations
2013-12-19,Deposit,2934,Donations,31281,Deposit for Donations
2013-12-20,Deposit,444,Sponsorship,9252,Deposit for Sponsorship
2013-12-20,Deposit,4083,Sponsorship,19356,Deposit for Sponsorship
2013-12-21,Deposit,2420,Sales,15671,Deposit for Sales
2013-12-24,Deposit,4266,Donations,36247,Deposit for Donations
2013-12-24,Deposit,1026,Sales,27498,Deposit for Sales
2013-12-26,Withdrawal,842,Utilities,30439,Withdrawal for Utilities
2013-12-26,Deposit,3992,Sales,15273,Deposit for Sales
2013-12-27,Withdrawal,2070,Office Supplies,9239,Withdrawal for Office Supplies
2013-12-27,Deposit,2156,Sales,29654,Deposit for Sales
2014-01-02,Deposit,4751,Donations,5085,Deposit for Donations
2014-01-02,Withdrawal,2755,Utilities,0,Withdrawal for Utilities
2014-01-05,Deposit,1619,Sponsorship,0,Deposit for Sponsorship
2014-01-07,Withdrawal,241,Loan Payments,334,Withdrawal for Loan Payments
2014-01-07,Withdrawal,593,Travel,0,Withdrawal for Travel
2014-01-08,Deposit,654,Sales,0,Deposit for Sales
2014-01-08,Withdrawal,2535,Utilities,4372,Withdrawal for Utilities
2014-01-09,Withdrawal,2091,Memberships,0,Withdrawal for Memberships
2014-01-10,Deposit,4330,Donations,2375,Deposit for Donations
2014-01-11,Withdrawal,1651,Insurance,1690,Withdrawal for Insurance
2014-01-12,Deposit,3713,Donations,575,Deposit for Donations
2014-01-14,Deposit,2867,Sales,4390,Deposit for Sales
2014-01-16,Withdrawal,2321,Maintenance,0,Withdrawal for Maintenance
2014-01-16,Withdrawal,192,Utilities,2183,Withdrawal for Utilities
2014-01-17,Withdrawal,863,Taxes,3177,Withdrawal for Taxes
2014-01-17,Withdrawal,2481,Rent,0,Withdrawal for Rent
2014-01-17,Deposit,1158,Sponsorship,3341,Deposit for Sponsorship
2014-01-19,Withdrawal,1250,Professional Services,4349,Withdrawal for Professional Services
2014-01-19,Withdrawal,1937,Loan Payments,0,Withdrawal for Loan Payments
2014-01-20,Withdrawal,2280,Professional Services,2092,Withdrawal for Professional Services
2014-01-20,Withdrawal,1540,Loan Payments,0,Withdrawal for Loan Payments
2014-01-24,Deposit,3909,Sponsorship,5599,Deposit for Sponsorship
2014-01-25,Deposit,1005,Sales,0,Deposit for Sales
2014-01-26,Deposit,1752,Sponsorship,1523,Deposit for Sponsorship
2014-01-27,Deposit,1907,Donations,6907,Deposit for Donations
2014-01-27,Deposit,443,Sales,3620,Deposit for Sales
2014-01-27,Withdrawal,179,Travel,0,Withdrawal for Travel
2014-01-28,Withdrawal,350,Inventory,4040,Withdrawal for Inventory
2014-01-28,Withdrawal,2344,Maintenance,1276,Withdrawal for Maintenance
2014-01-28,Withdrawal,2420,Inventory,1929,Withdrawal for Inventory
2014-02-01,Withdrawal,2175,Taxes,11517,Withdrawal for Taxes
2014-02-02,Deposit,2552,Sales,24438,Deposit for Sales
2014-02-03,Deposit,662,Donations,12629,Deposit for Donations
2014-02-04,Withdrawal,849,Professional Services,14035,Withdrawal for Professional Services
2014-02-05,Withdrawal,205,Professional Services,11967,Withdrawal for Professional Services
2014-02-05,Withdrawal,1902,Rent,11660,Withdrawal for Rent
2014-02-05,Withdrawal,1645,Loan Payments,13692,Withdrawal for Loan Payments
2014-02-06,Withdrawal,2275,Payroll,17037,Withdrawal for Payroll
2014-02-10,Deposit,4005,Sales,14884,Deposit for Sales
2014-02-11,Deposit,4123,Sales,17740,Deposit for Sales
2014-02-11,Deposit,4257,Sales,24554,Deposit for Sales
