Date,Transaction Type,Amount,Category,Balance,Description
2018-03-01,Withdrawal,197,Professional Services,1726,Withdrawal for Professional Services
2018-03-01,Withdrawal,2728,Payroll,20848,Withdrawal for Payroll
2018-03-01,Deposit,997,Sales,1707,Deposit for Sales
2018-03-02,Withdrawal,2724,Taxes,6504,Withdrawal for Taxes
2018-03-02,Deposit,4255,Donations,15496,Deposit for Donations
2018-03-03,Deposit,2826,Donations,11241,Deposit for Donations
2018-03-03,Deposit,1055,Donations,5130,Deposit for Donations
2018-03-03,Withdrawal,1000,Marketing,1923,Withdrawal for Marketing
2018-03-03,Deposit,1296,Sponsorship,8671,Deposit for Sponsorship
2018-03-03,Deposit,4350,Sales,19846,Deposit for Sales
2018-03-04,Withdrawal,588,Memberships,22976,Withdrawal for Memberships
2018-03-08,Withdrawal,2077,Memberships,2923,Withdrawal for Memberships
2018-03-09,Deposit,4341,Donations,9228,Deposit for Donations
2018-03-09,Withdrawal,1733,Payroll,5976,Withdrawal for Payroll
2018-03-10,Deposit,3576,Sales,9552,Deposit for Sales
2018-03-11,Deposit,2348,Donations,20783,Deposit for Donations
2018-03-14,Withdrawal,2108,Rent,23342,Withdrawal for Rent
2018-03-14,Withdrawal,2362,Insurance,2501,Withdrawal for Insurance
2018-03-15,Deposit,1574,Sales,4075,Deposit for Sales
2018-03-18,Withdrawal,962,Marketing,7709,Withdrawal for Marketing
2018-03-18,Withdrawal,1016,Maintenance,710,Withdrawal for Maintenance
2018-03-19,Deposit,2245,Donations,7375,Deposit for Donations
2018-03-19,Withdrawal,1137,Marketing,8415,Withdrawal for Marketing
2018-03-20,Withdrawal,1641,Rent,4863,Withdrawal for Rent
2018-03-23,Withdrawal,1411,Rent,18435,Withdrawal for Rent
2018-03-24,Withdrawal,787,Marketing,4887,Withdrawal for Marketing
2018-03-26,Deposit,2793,Sponsorship,23576,Deposit for Sponsorship
2018-03-26,Deposit,2474,Donations,25450,Deposit for Donations
2018-03-27,Deposit,3967,Sponsorship,5674,Deposit for Sponsorship
2018-03-27,Deposit,2716,Donations,23564,Deposit for Donations
2018-04-01,Withdrawal,2570,Marketing,0,Withdrawal for Marketing
2018-04-01,Deposit,2694,Sponsorship,3459,Deposit for Sponsorship
2018-04-02,Deposit,1820,Donations,1481,Deposit for Donations
2018-04-03,Withdrawal,1198,Utilities,0,Withdrawal for Utilities
2018-04-05,Withdrawal,2448,Professional Services,0,Withdrawal for Professional Services
2018-04-06,Withdrawal,2853,Travel,765,Withdrawal for Travel
2018-04-07,Withdrawal,2463,Payroll,0,Withdrawal for Payroll
2018-04-09,Withdrawal,2009,Marketing,0,Withdrawal for Marketing
2018-04-10,Deposit,2886,Donations,6345,Deposit for Donations
2018-04-11,Deposit,943,Sales,4473,Deposit for Sales
2018-04-12,Deposit,2198,Donations,859,Deposit for Donations
2018-04-13,Deposit,3258,Sales,959,Deposit for Sales
2018-04-13,Deposit,3666,Donations,0,Deposit for Donations
2018-04-13,Deposit,3211,Sponsorship,6574,Deposit for Sponsorship
2018-04-14,Deposit,393,Sales,0,Deposit for Sales
2018-04-14,Withdrawal,2936,Payroll,3618,Withdrawal for Payroll
2018-04-16,Deposit,146,Sales,5334,Deposit for Sales
2018-04-16,Deposit,2212,Sponsorship,6685,Deposit for Sponsorship
2018-04-17,Deposit,2148,Donations,0,Deposit for Donations
2018-04-17,Deposit,1030,Sponsorship,10057,Deposit for Sponsorship
2018-04-20,Deposit,2571,Sponsorship,3530,Deposit for Sponsorship
2018-04-20,Withdrawal,131,Professional Services,6554,Withdrawal for Professional Services
2018-04-21,Deposit,188,Donations,5188,Deposit for Donations
2018-04-21,Withdrawal,2452,Utilities,2695,Withdrawal for Utilities
2018-04-21,Deposit,2905,Sponsorship,9027,Deposit for Sponsorship
2018-04-22,Withdrawal,1571,Rent,1124,Withdrawal for Rent
2018-04-24,Withdrawal,2960,Loan Payments,0,Withdrawal for Loan Payments
2018-04-25,Withdrawal,1427,Office Supplies,5147,Withdrawal for Office Supplies
2018-04-28,Withdrawal,223,Utilities,6122,Withdrawal for Utilities
2018-04-28,Withdrawal,1971,Loan Payments,3363,Withdrawal for Loan Payments
2018-05-02,Deposit,1977,Donations,24012,Deposit for Donations
2018-05-04,Deposit,1891,Sponsorship,22488,Deposit for Sponsorship
2018-05-06,Deposit,4974,Sales,18795,Deposit for Sales
2018-05-07,Deposit,2077,Sponsorship,33133,Deposit for Sponsorship
2018-05-07,Deposit,4052,Sales,26540,Deposit for Sales
2018-05-07,Withdrawal,2529,Rent,26283,Withdrawal for Rent
2018-05-09,Withdrawal,1822,Memberships,23322,Withdrawal for Memberships
2018-05-10,Withdrawal,1683,Professional Services,30017,Withdrawal for Professional Services
2018-05-11,Withdrawal,1071,Professional Services,32062,Withdrawal for Professional Services
2018-05-11,Deposit,1026,Sponsorship,22236,Deposit for Sponsorship
2018-05-12,Withdrawal,376,Maintenance,25757,Withdrawal for Maintenance
2018-05-13,Withdrawal,1294,Inventory,24127,Withdrawal for Inventory
2018-05-15,Withdrawal,921,Utilities,31056,Withdrawal for Utilities
2018-05-15,Withdrawal,2725,Taxes,20597,Withdrawal for Taxes
2018-05-16,Deposit,3572,Sales,27245,Deposit for Sales
2018-05-19,Deposit,1829,Donations,24065,Deposit for Donations
2018-05-19,Withdrawal,1139,Inventory,25144,Withdrawal for Inventory
2018-05-21,Deposit,2606,Donations,21401,Deposit for Donations
2018-05-21,Withdrawal,2030,Insurance,22035,Withdrawal for Insurance
2018-05-25,Deposit,2006,Donations,26133,Deposit for Donations
2018-05-25,Deposit,4271,Sales,13821,Deposit for Sales
2018-05-26,Deposit,4550,Sponsorship,9550,Deposit for Sponsorship
2018-05-26,Withdrawal,2867,Loan Payments,23673,Withdrawal for Loan Payments
2018-05-26,Deposit,4455,Sponsorship,31700,Deposit for Sponsorship
2018-05-26,Deposit,1409,Donations,25421,Deposit for Donations
2018-05-26,Deposit,3746,Sales,31977,Deposit for Sales
2018-05-28,Deposit,3055,Sponsorship,28812,Deposit for Sponsorship
2018-05-28,Withdrawal,1786,Taxes,28231,Withdrawal for Taxes
2018-05-28,Withdrawal,191,Memberships,21210,Withdrawal for Memberships
2018-05-28,Withdrawal,2389,Taxes,29673,Withdrawal for Taxes
2018-06-01,Deposit,3953,Sales,17719,Deposit for Sales
2018-06-01,Deposit,1863,Sales,8659,Deposit for Sales
2018-06-03,Withdrawal,2193,Professional Services,14714,Withdrawal for Professional Services
2018-06-05,Deposit,1438,Sales,11664,Deposit for Sales
2018-06-06,Withdrawal,2378,Insurance,14581,Withdrawal for Insurance
2018-06-07,Withdrawal,1445,Marketing,6105,Withdrawal for Marketing
2018-06-08,Deposit,2615,Sponsorship,17329,Deposit for Sponsorship
2018-06-09,Withdrawal,2689,Professional Services,14137,Withdrawal for Professional Services
2018-06-09,Deposit,890,Sales,21828,Deposit for Sales
2018-06-09,Withdrawal,2275,Payroll,2621,Withdrawal for Payroll
2018-06-09,Deposit,4516,Sponsorship,15729,Deposit for Sponsorship
2018-06-10,Deposit,1213,Sponsorship,7318,Deposit for Sponsorship
2018-06-10,Deposit,683,Sales,16959,Deposit for Sales
2018-06-12,Withdrawal,2208,Rent,4896,Withdrawal for Rent
2018-06-13,Withdrawal,893,Loan Payments,16826,Withdrawal for Loan Payments
2018-06-14,Deposit,2412,Sales,16549,Deposit for Sales
2018-06-14,Deposit,1178,Sponsorship,16907,Deposit for Sponsorship
2018-06-15,Deposit,1660,Sales,6660,Deposit for Sales
2018-06-16,Withdrawal,929,Insurance,7550,Withdrawal for Insurance
2018-06-16,Withdrawal,152,Maintenance,4175,Withdrawal for Maintenance
2018-06-19,Deposit,4389,Sponsorship,20938,Deposit for Sponsorship
2018-06-20,Withdrawal,1053,Professional Services,16276,Withdrawal for Professional Services
2018-06-20,Withdrawal,1319,Rent,7340,Withdrawal for Rent
2018-06-20,Deposit,1819,Sponsorship,8479,Deposit for Sponsorship
2018-06-21,Deposit,4175,Sponsorship,6796,Deposit for Sponsorship
2018-06-22,Deposit,2886,Donations,10226,Deposit for Donations
2018-06-24,Withdrawal,815,Maintenance,13766,Withdrawal for Maintenance
2018-06-25,Withdrawal,2991,Insurance,4327,Withdrawal for Insurance
2018-06-26,Deposit,2929,Donations,7104,Deposit for Donations
2018-06-28,Withdrawal,451,Payroll,11213,Withdrawal for Payroll
2018-07-01,Withdrawal,482,Taxes,19326,Withdrawal for Taxes
2018-07-03,Withdrawal,2385,Inventory,16941,Withdrawal for Inventory
2018-07-05,Withdrawal,217,Professional Services,19808,Withdrawal for Professional Services
2018-07-06,Deposit,4537,Sales,19929,Deposit for Sales
2018-07-07,Deposit,2295,Donations,12849,Deposit for Donations
2018-07-08,Withdrawal,2821,Travel,13342,Withdrawal for Travel
2018-07-09,Withdrawal,136,Memberships,14525,Withdrawal for Memberships
2018-07-09,Deposit,1463,Donations,13374,Deposit for Donations
2018-07-11,Deposit,2606,Donations,16163,Deposit for Donations
2018-07-12,Withdrawal,2488,Loan Payments,10554,Withdrawal for Loan Payments
2018-07-13,Withdrawal,522,Taxes,11918,Withdrawal for Taxes
2018-07-13,Withdrawal,2880,Rent,20025,Withdrawal for Rent
2018-07-15,Deposit,3797,Sponsorship,23726,Deposit for Sponsorship
2018-07-17,Withdrawal,1080,Professional Services,15861,Withdrawal for Professional Services
2018-07-19,Withdrawal,934,Rent,12440,Withdrawal for Rent
2018-07-19,Withdrawal,1352,Travel,14509,Withdrawal for Travel
2018-07-21,Deposit,1788,Sponsorship,13557,Deposit for Sponsorship
2018-07-21,Withdrawal,1106,Maintenance,13403,Withdrawal for Maintenance
2018-07-21,Deposit,2543,Sales,15392,Deposit for Sales
2018-07-23,Deposit,2620,Sales,7734,Deposit for Sales
2018-07-25,Withdrawal,1317,Insurance,12086,Withdrawal for Insurance
2018-07-25,Deposit,4114,Donations,14661,Deposit for Donations
2018-07-25,Deposit,340,Sales,13682,Deposit for Sales
2018-07-25,Deposit,1599,Sponsorship,11769,Deposit for Sponsorship
2018-07-26,Withdrawal,640,Travel,13042,Withdrawal for Travel
2018-07-27,Deposit,2813,Sales,10547,Deposit for Sales
2018-07-27,Deposit,114,Donations,5114,Deposit for Donations
2018-07-27,Withdrawal,821,Payroll,22905,Withdrawal for Payroll
2018-07-28,Withdrawal,1748,Memberships,10170,Withdrawal for Memberships
2018-07-28,Withdrawal,2614,Marketing,11911,Withdrawal for Marketing
2018-08-01,Deposit,2489,Donations,33306,Deposit for Donations
2018-08-01,Withdrawal,2288,Office Supplies,16933,Withdrawal for Office Supplies
2018-08-02,Withdrawal,1156,Office Supplies,28403,Withdrawal for Office Supplies
2018-08-02,Deposit,656,Sales,8281,Deposit for Sales
2018-08-02,Deposit,1470,Donations,26889,Deposit for Donations
2018-08-03,Withdrawal,688,Payroll,27715,Withdrawal for Payroll
2018-08-03,Withdrawal,2404,Maintenance,14425,Withdrawal for Maintenance
2018-08-04,Deposit,2625,Sales,7625,Deposit for Sales
2018-08-04,Deposit,3366,Donations,17791,Deposit for Donations
2018-08-05,Deposit,1405,Sales,42709,Deposit for Sales
2018-08-05,Deposit,3520,Donations,12064,Deposit for Donations
2018-08-06,Deposit,2806,Sales,11087,Deposit for Sales
2018-08-08,Deposit,3570,Sales,25419,Deposit for Sales
2018-08-14,Deposit,2382,Donations,30817,Deposit for Donations
2018-08-15,Withdrawal,2033,Loan Payments,24856,Withdrawal for Loan Payments
2018-08-16,Deposit,4100,Sales,43967,Deposit for Sales
2018-08-16,Deposit,965,Sponsorship,14766,Deposit for Sponsorship
2018-08-17,Deposit,2063,Sponsorship,16829,Deposit for Sponsorship
2018-08-19,Deposit,1737,Donations,13801,Deposit for Donations
2018-08-20,Deposit,4910,Donations,38216,Deposit for Donations
2018-08-20,Deposit,4916,Donations,21849,Deposit for Donations
2018-08-21,Deposit,720,Donations,28435,Deposit for Donations
2018-08-22,Withdrawal,757,Loan Payments,8544,Withdrawal for Loan Payments
2018-08-22,Withdrawal,2842,Memberships,39867,Withdrawal for Memberships
2018-08-23,Deposit,3088,Sponsorship,41304,Deposit for Sponsorship
2018-08-23,Withdrawal,1786,Inventory,9301,Withdrawal for Inventory
2018-08-25,Deposit,4739,Donations,48706,Deposit for Donations
2018-08-26,Deposit,4703,Sales,29559,Deposit for Sales
2018-08-27,Deposit,2465,Sales,19221,Deposit for Sales
2018-08-27,Withdrawal,1035,Loan Payments,16756,Withdrawal for Loan Payments
2018-09-01,Withdrawal,511,Inventory,18644,Withdrawal for Inventory
2018-09-04,Withdrawal,784,Rent,23146,Withdrawal for Rent
2018-09-05,Deposit,2598,Sponsorship,19257,Deposit for Sponsorship
2018-09-07,Deposit,4467,Sales,14290,Deposit for Sales
2018-09-07,Deposit,4526,Sponsorship,22794,Deposit for Sponsorship
2018-09-08,Withdrawal,2324,Travel,18341,Withdrawal for Travel
2018-09-09,Deposit,4823,Sponsorship,9823,Deposit for Sponsorship
2018-09-09,Withdrawal,229,Professional Services,19005,Withdrawal for Professional Services
2018-09-10,Withdrawal,1559,Taxes,13670,Withdrawal for Taxes
2018-09-11,Withdrawal,2389,Loan Payments,10154,Withdrawal for Loan Payments
2018-09-14,Withdrawal,2363,Professional Services,20783,Withdrawal for Professional Services
2018-09-15,Withdrawal,2129,Memberships,20665,Withdrawal for Memberships
2018-09-15,Withdrawal,1436,Travel,16659,Withdrawal for Travel
2018-09-16,Deposit,4039,Donations,23296,Deposit for Donations
2018-09-16,Deposit,634,Donations,23930,Deposit for Donations
2018-09-17,Withdrawal,2609,Loan Payments,17923,Withdrawal for Loan Payments
2018-09-18,Deposit,345,Sales,18268,Deposit for Sales
2018-09-18,Withdrawal,2096,Insurance,6265,Withdrawal for Insurance
2018-09-19,Withdrawal,251,Inventory,20532,Withdrawal for Inventory
2018-09-19,Deposit,4384,Sponsorship,20806,Deposit for Sponsorship
2018-09-19,Withdrawal,1651,Utilities,19155,Withdrawal for Utilities
2018-09-21,Withdrawal,1919,Utilities,16422,Withdrawal for Utilities
2018-09-23,Withdrawal,910,Marketing,18095,Withdrawal for Marketing
2018-09-24,Withdrawal,1793,Memberships,8361,Withdrawal for Memberships
2018-09-25,Withdrawal,865,Utilities,12805,Withdrawal for Utilities
2018-09-26,Withdrawal,2980,Marketing,15229,Withdrawal for Marketing
2018-09-26,Deposit,1810,Sales,18209,Deposit for Sales
2018-09-28,Withdrawal,2245,Rent,16399,Withdrawal for Rent
2018-09-28,Withdrawal,262,Taxes,12543,Withdrawal for Taxes
2018-09-28,Deposit,4944,Sponsorship,19234,Deposit for Sponsorship
2018-10-01,Deposit,1259,Sales,33269,Deposit for Sales
2018-10-01,Withdrawal,1498,Marketing,3271,Withdrawal for Marketing
2018-10-02,Withdrawal,2395,Payroll,27461,Withdrawal for Payroll
2018-10-03,Deposit,1084,Donations,29856,Deposit for Donations
2018-10-03,Deposit,4143,Sales,13085,Deposit for Sales
2018-10-04,Withdrawal,152,Rent,34807,Withdrawal for Rent
2018-10-04,Deposit,4161,Sponsorship,25648,Deposit for Sponsorship
2018-10-05,Deposit,2396,Sales,19213,Deposit for Sales
2018-10-05,Withdrawal,1602,Maintenance,37844,Withdrawal for Maintenance
2018-10-06,Deposit,4726,Donations,39446,Deposit for Donations
2018-10-06,Withdrawal,1168,Loan Payments,4769,Withdrawal for Loan Payments
2018-10-08,Withdrawal,396,Professional Services,34643,Withdrawal for Professional Services
2018-10-09,Withdrawal,584,Professional Services,8942,Withdrawal for Professional Services
2018-10-09,Withdrawal,1818,Memberships,36026,Withdrawal for Memberships
2018-10-10,Withdrawal,1795,Utilities,9061,Withdrawal for Utilities
2018-10-10,Withdrawal,1467,Memberships,31802,Withdrawal for Memberships
2018-10-13,Deposit,3124,Sponsorship,28772,Deposit for Sponsorship
2018-10-14,Deposit,465,Sales,9526,Deposit for Sales
2018-10-16,Deposit,4492,Donations,10856,Deposit for Donations
2018-10-17,Withdrawal,1214,Travel,31588,Withdrawal for Travel
2018-10-17,Withdrawal,987,Marketing,35039,Withdrawal for Marketing
2018-10-18,Deposit,937,Sales,5937,Deposit for Sales
2018-10-18,Deposit,3093,Donations,6364,Deposit for Donations
2018-10-21,Withdrawal,1637,Marketing,17576,Withdrawal for Marketing
2018-10-22,Withdrawal,2005,Loan Payments,32802,Withdrawal for Loan Payments
2018-10-23,Deposit,3732,Donations,16817,Deposit for Donations
2018-10-25,Deposit,4549,Sales,32010,Deposit for Sales
2018-10-25,Deposit,3132,Sales,34720,Deposit for Sales
2018-10-27,Deposit,3911,Sales,21487,Deposit for Sales
2018-10-27,Deposit,3157,Donations,34959,Deposit for Donations
2018-11-01,Withdrawal,1525,Rent,8720,Withdrawal for Rent
2018-11-01,Deposit,4596,Sales,11455,Deposit for Sales
2018-11-01,Withdrawal,1307,Rent,11126,Withdrawal for Rent
2018-11-02,Withdrawal,765,Payroll,915,Withdrawal for Payroll
2018-11-03,Withdrawal,1170,Loan Payments,12433,Withdrawal for Loan Payments
2018-11-03,Deposit,4512,Sponsorship,11139,Deposit for Sponsorship
2018-11-05,Withdrawal,2958,Inventory,5762,Withdrawal for Inventory
2018-11-05,Deposit,2001,Sponsorship,10245,Deposit for Sponsorship
2018-11-08,Withdrawal,2594,Insurance,11119,Withdrawal for Insurance
2018-11-09,Withdrawal,1338,Loan Payments,3651,Withdrawal for Loan Payments
2018-11-11,Withdrawal,1028,Marketing,10091,Withdrawal for Marketing
2018-11-11,Deposit,3088,Sponsorship,7807,Deposit for Sponsorship
2018-11-12,Withdrawal,2543,Memberships,2457,Withdrawal for Memberships
2018-11-15,Deposit,4170,Donations,6627,Deposit for Donations
2018-11-15,Withdrawal,2667,Inventory,3095,Withdrawal for Inventory
2018-11-17,Withdrawal,166,Professional Services,7761,Withdrawal for Professional Services
2018-11-17,Withdrawal,2444,Rent,4989,Withdrawal for Rent
2018-11-17,Deposit,4317,Sales,15357,Deposit for Sales
2018-11-18,Deposit,3804,Sponsorship,4719,Deposit for Sponsorship
2018-11-18,Deposit,3208,Donations,6859,Deposit for Donations
2018-11-20,Withdrawal,374,Office Supplies,7433,Withdrawal for Office Supplies
2018-11-20,Deposit,2464,Donations,13603,Deposit for Donations
2018-11-20,Withdrawal,2927,Professional Services,168,Withdrawal for Professional Services
2018-11-20,Deposit,3618,Sponsorship,1680,Deposit for Sponsorship
2018-11-24,Withdrawal,2947,Marketing,8244,Withdrawal for Marketing
2018-11-26,Withdrawal,415,Maintenance,11040,Withdrawal for Maintenance
2018-11-27,Withdrawal,2106,Insurance,0,Withdrawal for Insurance
2018-11-27,Deposit,3430,Sales,11191,Deposit for Sales
2018-11-27,Deposit,2587,Sales,13713,Deposit for Sales
2018-11-28,Withdrawal,2164,Inventory,7927,Withdrawal for Inventory
2018-12-01,Withdrawal,734,Taxes,20581,Withdrawal for Taxes
2018-12-03,Withdrawal,983,Office Supplies,1236,Withdrawal for Office Supplies
2018-12-03,Deposit,3636,Sponsorship,1435,Deposit for Sponsorship
2018-12-04,Withdrawal,2332,Loan Payments,18901,Withdrawal for Loan Payments
2018-12-06,Deposit,905,Sponsorship,2141,Deposit for Sponsorship
2018-12-06,Withdrawal,845,Taxes,18625,Withdrawal for Taxes
2018-12-06,Deposit,3087,Sponsorship,11913,Deposit for Sponsorship
2018-12-07,Withdrawal,994,Inventory,11210,Withdrawal for Inventory
2018-12-07,Withdrawal,825,Memberships,19470,Withdrawal for Memberships
2018-12-07,Withdrawal,1488,Loan Payments,3512,Withdrawal for Loan Payments
2018-12-08,Withdrawal,1293,Payroll,2219,Withdrawal for Payroll
2018-12-08,Withdrawal,594,Utilities,11319,Withdrawal for Utilities
2018-12-08,Withdrawal,982,Professional Services,14043,Withdrawal for Professional Services
2018-12-09,Deposit,4765,Sales,6082,Deposit for Sales
2018-12-10,Withdrawal,2093,Office Supplies,48,Withdrawal for Office Supplies
2018-12-11,Deposit,1072,Sales,19472,Deposit for Sales
2018-12-12,Withdrawal,478,Maintenance,1317,Withdrawal for Maintenance
2018-12-12,Deposit,885,Donations,12204,Deposit for Donations
2018-12-12,Deposit,2642,Sales,13852,Deposit for Sales
2018-12-13,Withdrawal,2249,Insurance,0,Withdrawal for Insurance
2018-12-15,Deposit,2608,Sales,21233,Deposit for Sales
2018-12-15,Deposit,1564,Donations,15607,Deposit for Donations
2018-12-19,Deposit,3323,Sales,8826,Deposit for Sales
2018-12-19,Deposit,2627,Donations,18234,Deposit for Donations
2018-12-21,Withdrawal,579,Loan Payments,5503,Withdrawal for Loan Payments
2018-12-21,Deposit,360,Sponsorship,1795,Deposit for Sponsorship
2018-12-23,Deposit,166,Donations,18400,Deposit for Donations
2018-12-24,Deposit,1843,Donations,21315,Deposit for Donations
2018-12-24,Withdrawal,286,Insurance,20295,Withdrawal for Insurance
2018-12-26,Deposit,1173,Sponsorship,15025,Deposit for Sponsorship
2019-01-01,Deposit,4515,Sales,23370,Deposit for Sales
2019-01-01,Deposit,3523,Sponsorship,8909,Deposit for Sponsorship
2019-01-05,Deposit,622,Sponsorship,13010,Deposit for Sponsorship
2019-01-07,Withdrawal,520,Memberships,15806,Withdrawal for Memberships
2019-01-07,Deposit,525,Donations,15803,Deposit for Donations
2019-01-08,Deposit,1760,Donations,5386,Deposit for Donations
2019-01-08,Deposit,2567,Sponsorship,16326,Deposit for Sponsorship
2019-01-09,Withdrawal,1408,Professional Services,7196,Withdrawal for Professional Services
2019-01-09,Deposit,736,Donations,15050,Deposit for Donations
2019-01-09,Deposit,749,Donations,13759,Deposit for Donations
2019-01-10,Withdrawal,305,Taxes,8604,Withdrawal for Taxes
2019-01-11,Withdrawal,109,Professional Services,13788,Withdrawal for Professional Services
2019-01-12,Deposit,1577,Sponsorship,14462,Deposit for Sponsorship
2019-01-13,Withdrawal,2768,Rent,2232,Withdrawal for Rent
2019-01-13,Deposit,4600,Sales,17437,Deposit for Sales
2019-01-15,Withdrawal,307,Professional Services,13897,Withdrawal for Professional Services
2019-01-16,Deposit,2128,Sales,9324,Deposit for Sales
2019-01-17,Deposit,435,Sales,24770,Deposit for Sales
2019-01-17,Deposit,2694,Sales,26064,Deposit for Sales
2019-01-19,Withdrawal,1729,Taxes,24335,Withdrawal for Taxes
2019-01-20,Withdrawal,1580,Inventory,12388,Withdrawal for Inventory
2019-01-21,Deposit,1394,Sponsorship,3626,Deposit for Sponsorship
2019-01-22,Withdrawal,1835,Payroll,13968,Withdrawal for Payroll
2019-01-22,Deposit,4393,Sales,18855,Deposit for Sales
2019-01-23,Withdrawal,846,Marketing,14204,Withdrawal for Marketing
2019-01-24,Deposit,1971,Donations,14314,Deposit for Donations
2019-01-26,Withdrawal,951,Payroll,12837,Withdrawal for Payroll
2019-01-27,Withdrawal,2921,Loan Payments,12885,Withdrawal for Loan Payments
2019-01-28,Withdrawal,2159,Utilities,15278,Withdrawal for Utilities
2019-01-28,Deposit,3019,Sponsorship,12343,Deposit for Sponsorship
2019-02-01,Withdrawal,1009,Taxes,9318,Withdrawal for Taxes
2019-02-01,Withdrawal,1310,Travel,6118,Withdrawal for Travel
2019-02-03,Withdrawal,244,Loan Payments,32425,Withdrawal for Loan Payments
2019-02-03,Withdrawal,337,Insurance,8981,Withdrawal for Insurance
2019-02-04,Deposit,3240,Sales,12221,Deposit for Sales
2019-02-05,Withdrawal,551,Insurance,32669,Withdrawal for Insurance
2019-02-05,Withdrawal,2731,Loan Payments,13698,Withdrawal for Loan Payments
2019-02-09,Deposit,2198,Donations,8316,Deposit for Donations
